,user,drinks_type,order_time,menudf_index
0,user81,Coffee,14,18
1,user81,Water,14,23
2,user81,Coffee,12,15
3,user81,,9,22
4,user81,,12,15
5,user81,Smoothie,15,14
6,user81,Tea,16,25
7,user81,Tea,15,12
8,user81,,13,21
9,user81,Coffee,11,23
10,user301,,9,23
11,user301,Coffee,21,1
12,user301,Tea,22,11
13,user301,,16,3
14,user301,Coffee,22,8
15,user301,Coffee,20,14
16,user301,,18,23
17,user301,Water,22,20
18,user301,Coffee,9,25
19,user301,Tea,20,18
20,user101,Smoothie,21,13
21,user101,Water,12,23
22,user101,Tea,19,13
23,user101,Coffee,14,12
24,user101,Water,13,1
25,user101,Tea,15,17
26,user101,Smoothie,22,19
27,user101,Juice,16,17
28,user101,,15,17
29,user101,Coffee,15,17
30,user380,Water,10,6
31,user380,Smoothie,9,23
32,user380,Water,14,5
33,user380,Coffee,18,18
34,user380,Smoothie,13,16
35,user380,Water,18,0
36,user380,Juice,17,10
37,user380,Tea,13,23
38,user380,Tea,21,11
39,user380,,9,24
40,user2,,14,17
41,user2,Smoothie,21,2
42,user2,,15,15
43,user2,Tea,22,8
44,user2,Coffee,20,15
45,user2,Juice,9,22
46,user2,Coffee,16,13
47,user2,Juice,15,23
48,user2,Water,13,20
49,user2,Smoothie,12,12
50,user105,Water,16,2
51,user105,Coffee,11,17
52,user105,Juice,10,19
53,user105,Tea,11,18
54,user105,Juice,10,14
55,user105,,11,15
56,user105,Juice,17,16
57,user105,Juice,22,0
58,user105,Water,18,3
59,user105,Juice,18,11
60,user23,Coffee,21,9
61,user23,Coffee,10,18
62,user23,Water,22,11
63,user23,Tea,13,7
64,user23,Coffee,11,3
65,user23,Tea,22,21
66,user23,Coffee,16,16
67,user23,Water,10,0
68,user23,Tea,9,18
69,user23,Smoothie,20,22
70,user327,Water,9,25
71,user327,Smoothie,13,12
72,user327,Coffee,13,11
73,user327,Tea,22,5
74,user327,Tea,19,21
75,user327,Water,17,18
76,user327,,20,18
77,user327,Tea,10,5
78,user327,,15,25
79,user327,,15,3
80,user50,Tea,16,19
81,user50,Tea,10,3
82,user50,Tea,16,2
83,user50,Water,10,16
84,user50,Juice,9,23
85,user50,Water,21,0
86,user50,Tea,13,21
87,user50,Coffee,13,8
88,user50,Juice,10,18
89,user50,Coffee,13,20
90,user467,Juice,11,14
91,user467,,11,10
92,user467,Water,19,16
93,user467,Juice,9,16
94,user467,Tea,18,8
95,user467,Smoothie,15,13
96,user467,Smoothie,13,20
97,user467,Tea,20,11
98,user467,Juice,13,25
99,user467,Tea,10,23
100,user354,Juice,16,14
101,user354,,10,13
102,user354,Juice,19,15
103,user354,Water,15,9
104,user354,Water,12,20
105,user354,,13,0
106,user354,Water,16,22
107,user354,Juice,17,18
108,user354,Juice,18,21
109,user354,Water,13,23
110,user284,Tea,13,5
111,user284,,14,15
112,user284,Smoothie,10,16
113,user284,Water,16,21
114,user284,Smoothie,15,12
115,user284,Water,21,17
116,user284,Tea,17,14
117,user284,,16,14
118,user284,Smoothie,11,17
119,user284,,14,19
120,user146,Coffee,14,17
121,user146,Water,18,4
122,user146,Smoothie,10,24
123,user146,Juice,14,3
124,user146,Water,21,2
125,user146,,15,16
126,user146,Coffee,16,21
127,user146,,20,4
128,user146,Juice,21,17
129,user146,Water,11,15
130,user267,Smoothie,22,12
131,user267,Juice,20,12
132,user267,Coffee,18,15
133,user267,Coffee,21,2
134,user267,Smoothie,10,23
135,user267,Water,17,24
136,user267,Tea,19,21
137,user267,Tea,11,22
138,user267,Water,18,4
139,user267,Water,17,3
140,user427,Coffee,17,19
141,user427,,16,8
142,user427,,10,20
143,user427,,14,15
144,user427,,10,20
145,user427,Juice,17,16
146,user427,,11,21
147,user427,,13,20
148,user427,Water,14,5
149,user427,Tea,17,6
150,user110,Coffee,20,18
151,user110,Water,9,8
152,user110,Coffee,9,22
153,user110,Smoothie,20,22
154,user110,,13,12
155,user110,Water,12,0
156,user110,,22,18
157,user110,Tea,12,25
158,user110,Smoothie,17,24
159,user110,Water,20,22
160,user329,Juice,16,15
161,user329,Juice,18,12
162,user329,Smoothie,13,14
163,user329,Water,22,2
164,user329,Tea,13,21
165,user329,Smoothie,12,0
166,user329,Tea,20,14
167,user329,Smoothie,12,20
168,user329,Smoothie,10,10
169,user329,Smoothie,9,18
170,user217,Juice,20,0
171,user217,Smoothie,22,9
172,user217,Tea,20,4
173,user217,Coffee,17,21
174,user217,Juice,17,25
175,user217,Smoothie,16,4
176,user217,,9,0
177,user217,Juice,18,3
178,user217,Coffee,10,2
179,user217,,18,18
180,user108,,13,2
181,user108,Smoothie,20,13
182,user108,Smoothie,22,24
183,user108,Juice,22,18
184,user108,Tea,19,7
185,user108,Water,16,19
186,user108,,17,11
187,user108,Tea,9,6
188,user108,Tea,21,8
189,user108,Tea,11,18
190,user440,Juice,19,12
191,user440,Tea,11,16
192,user440,Coffee,10,20
193,user440,Water,14,18
194,user440,Tea,13,1
195,user440,Coffee,16,1
196,user440,Water,20,18
197,user440,Water,19,19
198,user440,Water,11,13
199,user440,Coffee,22,9
200,user431,Smoothie,13,21
201,user431,,18,20
202,user431,Juice,15,25
203,user431,,15,5
204,user431,Coffee,15,10
205,user431,Coffee,11,14
206,user431,,20,18
207,user431,Smoothie,22,23
208,user431,Coffee,21,19
209,user431,Smoothie,9,7
210,user441,,22,0
211,user441,Coffee,9,9
212,user441,Juice,19,9
213,user441,Juice,12,14
214,user441,Coffee,15,12
215,user441,Smoothie,20,20
216,user441,Coffee,12,9
217,user441,Tea,10,21
218,user441,Smoothie,21,1
219,user441,Tea,18,3
220,user147,Water,9,17
221,user147,Water,16,22
222,user147,Juice,16,4
223,user147,Smoothie,14,0
224,user147,Water,20,19
225,user147,Juice,20,18
226,user147,,17,20
227,user147,Water,15,9
228,user147,Tea,9,15
229,user147,,9,15
230,user157,Coffee,21,9
231,user157,Water,14,10
232,user157,Smoothie,22,15
233,user157,,9,10
234,user157,,16,24
235,user157,Tea,13,0
236,user157,Juice,20,20
237,user157,Water,19,3
238,user157,Smoothie,10,19
239,user157,Tea,16,10
240,user467,Smoothie,22,16
241,user467,,20,21
242,user467,Water,17,21
243,user467,Smoothie,13,2
244,user467,Tea,11,7
245,user467,,11,23
246,user467,Tea,11,25
247,user467,Coffee,19,8
248,user467,,14,23
249,user467,Water,21,22
250,user140,Tea,17,4
251,user140,Water,13,18
252,user140,,13,12
253,user140,Coffee,14,7
254,user140,Tea,9,0
255,user140,Juice,19,15
256,user140,,19,10
257,user140,Smoothie,9,0
258,user140,Tea,9,5
259,user140,Smoothie,13,22
260,user75,Tea,19,21
261,user75,Coffee,11,21
262,user75,Juice,18,8
263,user75,,21,9
264,user75,,20,15
265,user75,Coffee,20,15
266,user75,Coffee,18,21
267,user75,Tea,13,14
268,user75,,12,8
269,user75,Water,21,12
270,user182,Smoothie,21,6
271,user182,Tea,11,17
272,user182,Tea,12,0
273,user182,Coffee,14,5
274,user182,Smoothie,18,3
275,user182,Water,14,5
276,user182,,17,16
277,user182,,20,2
278,user182,Tea,9,8
279,user182,Juice,21,0
280,user96,Coffee,12,17
281,user96,Tea,13,21
282,user96,Smoothie,17,1
283,user96,Smoothie,15,15
284,user96,Juice,9,11
285,user96,Juice,17,20
286,user96,Tea,11,6
287,user96,Tea,21,21
288,user96,Juice,22,6
289,user96,Coffee,17,20
290,user433,Coffee,14,1
291,user433,Tea,14,15
292,user433,,13,1
293,user433,Water,22,12
294,user433,Smoothie,13,16
295,user433,Water,10,2
296,user433,Smoothie,12,11
297,user433,Water,22,11
298,user433,Juice,19,11
299,user433,Juice,21,6
300,user436,Tea,18,19
301,user436,Tea,12,11
302,user436,Tea,9,23
303,user436,,11,21
304,user436,Smoothie,11,13
305,user436,Juice,11,18
306,user436,Smoothie,12,4
307,user436,,18,5
308,user436,Water,12,19
309,user436,,19,8
310,user66,Juice,10,3
311,user66,Water,18,20
312,user66,Tea,18,20
313,user66,Water,11,10
314,user66,Tea,10,3
