puns,percentage
"After a meeting between the apples and oranges regarding their annual fair, the head of apples said, ""It was a fruitful discussion.""",1.0
"After a hectic day at work, the melon said, ""All the running around the office has sucked all the juices in me.""",2.0
"Fig is always late to school, on the day of the principal visit, he reached juiced on time.",3.0
The palm leaf was very excited as she had chosen a date for her friends.,4.0
"The principal of the fruit school did not mix with other fruits of the community, though was known to be a prune woman.",5.0
"As the guests were coming, the nectarine asked his daughter to plum the cushions.",6.0
"The guava told his children after his return from the war, ""I love you all cherry much.""",7.0
The fruits made many friends durian their summer camp.,8.0
The fig said that this Christmas would be her first pear-formance as a singer.,9.0
The fruits could not manage to get pear-mission for their participation in the school dance competition.,10.0
"The plum was told that his booking was canceled at the hotel after reaching there, and he went bananas.",11.0
"The apple had lost her pet, so her friends sat be-cider her to provide comfort.",12.0
"The citrusy fruits told their teacher on their farewell, ""You are one in a melon.""",13.0
"The watermelon had a silly accident in the park and said, ""I won't come here in a melon years.""",14.0
"The stand up comic was so funny the fruits yelled, ""These jokes are kiwing me.""",15.0
"To impress his girlfriend, the mango said, ""I will go to grape length to fulfill your wishes and then get married, if we can.""",16.0
"The melon siblings were blaming each other for the broken vase and their mother said, ""It takes two to mango.""",17.0
The cruise of the fruits in their journey to the Bahamas was sailing smoothie.,18.0
A fruit once went to China and said he had become a mandarin.,19.0
"The fruits had organized a party, and a human was brought in but he did not enjoy the party, so some of them said, ""Let that mango.""",20.0
The guests were invited to a melon party and they were given the premium fruits to rest in the hotel.,21.0
The favorite fruit of a vampire is a neck-tarine.,22.0
The palm leaves said their favorite subject in school was history as it was full of old dates.,23.0
The kiwi got fired from the orange juice factory as she could not concentrate enough.,24.0
"After the fruit babies are born, they are kept in their tiny apri-cots.",25.0
The kiwi was finding a suitor for her daughter and finally found the pear-fect one.,26.0
"The watermelon was feeling sad in his childhood home and said, ""I'm feeling a little melon-cholic.""",27.0
The pineapple worked in the call center and her friends called her pineapple rings.,28.0
"When fruit becomes famous through their work, they are called star fruits.",29.0
There were many kinds of apples in the group but the pineapple never felt like he fitted in.,30.0
The leader of the revolutionary fruits was named Che Guava.,31.0
The orange police officer said to the detectives in the crime scene to get to the fruit of the matter.,32.0
"With the big accident in the fruit market, the atmosphere had become very pulp-able.",33.0
"At their wedding, the kiwi said to her husband, ""You hold the kiwi to my heart.""",34.0
"On their morning of the trip, the husband berry said to his wife, ""Honeydew you know that olive you so much.""",35.0
"The kiwi was lying to his parents even after being warned so his parents told him, ""You're plum-believable.""",36.0
"After the tap broke, the orange family called up a plum-ber immediately.",37.0
"The apple was advised by her mother that, if she loved someone then to never let that mango.",38.0
In the treasure hunt the instructor refused to guava clue.,39.0
"After taking English classes, the apple said, ""Shakes-pear is my favorite poet.""",40.0
The apple said that he had got a tattoo out of pear-pressure.,41.0
"The teacher tried to stop the quarrel among the oranges, said it was not that fig of a deal.",42.0
"As the lemon failed in the test, his teacher asked him not to be sad as he was doing grape in other subjects.",43.0
"When two fruits who love each other get married, they say ""Olive you so much"".",44.0
The famous king among the fruit community was Alexander the Grape.,45.0
"The grapes were not happy with their mother's decision to cancel the trip, their mother said, ""Stop wine-ing, we can go there later.""",46.0
"The grape parents were looking for a school for their children but could not afford any, said, ""It is getting difficult for us to live in this town while raisin kids.""",47.0
The grape brought in good news for his colleagues as he arranged the seed money for their startup.,48.0
"The grapes were very angry with the apples and said, ""Please use some logic and raisin.""",49.0
The elderly grapes said that they were very grapeful to the younger apples for their help during crises.,50.0
"The banana got sick and the others brought in fruits for him, later the banana said, it was cherry sweet of them.",51.0
"As the banana had some work and could not go on the trip, he said to his friends that I'll be pear in spirit.",52.0
The guilty banana wanted to get an a-peel to get out of the law suit.,53.0
"When two banana peels are on the ground, they are called a pair of slippers.",54.0
The banana asked for rest in the middle of the day as he was not peeling well.,55.0
"The banana wanted advice for his first stand up show, his friends said, ""Your humor needs to be a-peel-ing for the public.""",56.0
"When the banana was not able to make a split, he went completely bananas over it.",57.0
"After the banana lost her father, her mother was the only seed of hope.",58.0
The apples were feeling lonely because the banana split.,59.0
The queen of the apples had her own cherry-ot for traveling.,60.0
The teacher apple-auded the efforts of her students in the fruit festival.,61.0
"The other apple always said to his children, ""You're the apple of my eyes.""",62.0
"The grandmother apple told her grandson, ""You're one fine-apple.""",63.0
"The apple and its skin were partners in crime, the skin told the fruit, ""I've got you covered.""",64.0
The short-tempered apple is called a crab- apple.,65.0
"During the winter, the apple family went to the store to get apple-over.",66.0
"When the kid apple made a mistake, he was very apple-ogetic.",67.0
"When the lemon met her friend after a long time, she called out ""Yellow, how are you?""",68.0
"The lemon said to his sister that he has orange-d a meeting for her, the next day.",69.0
"The lime was finally coming out of the hospital. After surviving the disease, she had such zest for life.",70.0
The orange was having some skin issues due to lack of melonin.,71.0
The lemon was a trained nurse and his clinic was called lemon-aid.,72.0
The orange coach said to his students to squeeze the day on their final tournament.,73.0
"The lemons had organized a game for their kids, it was, ""Find the treasure zest.""",74.0
The lemons were not happy to go back to the daily rind after the vacation.,75.0
